"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/06/27","19:00","4.386","-","4.98"
"2020/06/27","20:00","5.25","-","5.93"
"2020/06/27","21:00","5.58","-","6.33"
"2020/06/27","22:00","5.259","-","6.03"
"2020/06/27","23:00","4.346","-","5"
"2020/06/28","00:00","3.18","-","3.68"
"2020/06/28","01:00","2.107","-","2.58"
"2020/06/28","02:00","1.319","-","1.69"
"2020/06/28","03:00","0.794","-","1.05"
"2020/06/28","04:00","0.643","-","0.75"
"2020/06/28","05:00","1.328","-","1.8"
"2020/06/28","06:00","2.856","-","3.69"
"2020/06/28","07:00","4.427","-","5"
"2020/06/28","08:00","5.447","-","6.03"
"2020/06/28","09:00","5.899","-","6.46"
"2020/06/28","10:00","5.744","-","6.37"
"2020/06/28","11:00","4.934","-","5.5"
"2020/06/28","12:00","3.725","-","4.21"
"2020/06/28","13:00","2.485","-","3"
"2020/06/28","14:00","1.473","-","2"
"2020/06/28","15:00","0.726","-","1.22"
"2020/06/28","16:00","0.227","-","0.68"
"2020/06/28","17:00","0.36","-","0.84"
"2020/06/28","18:00","1.494","-","2.48"
"2020/06/28","19:00","3.151","-","4.07"
"2020/06/28","20:00","4.538","-","5.39"
"2020/06/28","21:00","5.425","-","6.25"
"2020/06/28","22:00","5.781","-","6.53"
"2020/06/28","23:00","5.443","-","6.26"
"2020/06/29","00:00","4.501","-","5.29"
"2020/06/29","01:00","3.318","-","4.06"
"2020/06/29","02:00","2.239","-","2.92"
"2020/06/29","03:00","1.421","-","1.97"
"2020/06/29","04:00","0.816","-","1.3"
"2020/06/29","05:00","0.6","-","0.98"
"2020/06/29","06:00","1.265","-","1.89"
"2020/06/29","07:00","2.729","-","3.68"
"2020/06/29","08:00","4.203","-","5.05"
"2020/06/29","09:00","5.209","-","6.08"
"2020/06/29","10:00","5.725","-","6.55"
"2020/06/29","11:00","5.61","-","6.39"
"2020/06/29","12:00","4.805","-","5.52"
"2020/06/29","13:00","3.597","-","4.23"
"2020/06/29","14:00","2.373","-","3.02"
"2020/06/29","15:00","1.39","-","1.97"
"2020/06/29","16:00","0.654","-","1.27"
"2020/06/29","17:00","0.178","-","0.69"
"2020/06/29","18:00","0.403","-","0.92"
"2020/06/29","19:00","1.627","-","2.6"
"2020/06/29","20:00","3.288","-","4.19"
"2020/06/29","21:00","4.674","-","5.47"
"2020/06/29","22:00","5.615","-","6.24"
"2020/06/29","23:00","6.006","-","6.53"
"2020/06/30","00:00","5.648","-","6.25"
"2020/06/30","01:00","4.676","-","5.3"
"2020/06/30","02:00","3.477","-","3.98"
"2020/06/30","03:00","2.388","-","2.83"
"2020/06/30","04:00","1.521","-","1.87"
"2020/06/30","05:00","0.809","-","1.15"
"2020/06/30","06:00","0.509","-","0.86"
"2020/06/30","07:00","1.136","-","1.73"
"2020/06/30","08:00","2.533","-","3.39"
"2020/06/30","09:00","3.942","-","4.76"
"2020/06/30","10:00","4.984","-","5.8"
"2020/06/30","11:00","5.584","-","6.31"
"2020/06/30","12:00","5.506","-","6.22"
"2020/06/30","13:00","4.7","-","5.35"
"2020/06/30","14:00","3.495","-","4.08"
"2020/06/30","15:00","2.296","-","2.89"
"2020/06/30","16:00","1.343","-","1.92"
"2020/06/30","17:00","0.607","-","1.17"
"2020/06/30","18:00","0.144","-","0.59"
"2020/06/30","19:00","0.451","-","0.86"
"2020/06/30","20:00","1.747","-","2.62"
"2020/06/30","21:00","3.41","-","4.27"
"2020/06/30","22:00","4.816","-","5.64"
"2020/06/30","23:00","5.819","-","6.5"
